Abramis brama	Freshwater bream
Etheostoma caeruleum	Rainbow darter
Eucinostomus gula	Jenny mojarra
Euthynnus affinis	Kawakawa
Euthynnus alletteratus	Little tunny
Fundulus chrysotus	Golden topminnow
Fundulus diaphanus	Banded killifish
Fundulus olivaceus	Blackspotted topminnow
Gadus morhua	Atlantic cod
Galeocerdo cuvier	Tiger shark
Galeorhinus galeus	Tope shark
Gambusia affinis	Mosquitofish
Gasterosteus aculeatus	Three-spined stickleback
Gerres cinereus	Yellow fin mojarra
Ginglymostoma cirratum	Nurse shark
Girella elevata	Black drummer
Girella tricuspidata	Parore
Gnathanodon speciosus	Golden trevally
Gobiesox rhessodon	California clingfish
Gobio gobio	Gudgeon
Gobius paganellus	Rock goby
Gymnosarda unicolor	Dogtooth tuna
Gymnothorax funebris	Green moray
Gymnothorax miliaris	Goldentail moray
Gymnothorax moringa	Spotted moray
Haemulon album	White margate
Haemulon aurolineatum	Tomtate grunt
Haemulon chrysargyreum	Smallmouth grunt
Haemulon flavolineatum	French grunt
Haemulon parra	Sailor's grunt
Haemulon plumierii	White grunt
Haemulon sciurus	Bluestriped grunt
Halichoeres bivittatus	Slippery dick
Halichoeres garnoti	Yellowhead wrasse
Halichoeres maculipinna	Clown wrasse
Halichoeres radiatus	Puddingwife wrasse
Halichoeres semicinctus	Rock wrasse
Hampala macrolepidota	Hampala barb
Hemigymnus melapterus	Blackeye thicklip
Hephaestus fuliginosus	Sooty grunter
Herichthys cyanoguttatus	Rio Grande cichlid
Heterodontus francisci	Horn shark
Heterodontus portusjacksoni	Port Jackson shark
Hexagrammos decagrammus	Kelp greenling
Hexagrammos stelleri	Whitespotted greenling
Hiodon alosoides	Goldeye
Hiodon tergisus	Mooneye
Hippoglossus stenolepis	Pacific halibut
Holacanthus bermudensis	Angelfish
Holacanthus ciliaris	Queen angelfish
Holocentrus adscensionis	Squirrelfish
Hoplias malabaricus	Trahira
Hoplopagrus guentherii	Mexican barred snapper
Hybognathus hankinsoni	Brassy minnow
Hypanus americanus	Southern stingray
Hypanus sabinus	Atlantic stingray
Hypentelium nigricans	Northern hog sucker
Hypophthalmichthys molitrix	Silver carp
Hypophthalmichthys nobilis	Bighead carp
Hyporthodus niveatus	Snowy grouper
Hypsypops rubicundus	Garibaldi damselfish
Ictalurus furcatus	Blue catfish
Ictalurus punctatus	Channel catfish
Ictiobus bubalus	Smallmouth buffalo
Ictiobus cyprinellus	Bigmouth buffalo
Istiophorus albicans	Atlantic Sailfish
Istiophorus platypterus	Indo-Pacific sailfish
Kajikia audax	Striped marlin
Katsuwonus pelamis	Skipjack tuna
Kuhlia rupestris	Rock flagtail
Kyphosus sectatrix	Bermuda sea chub
Kyphosus vaigiensis	Brassy chub
Labeobarbus marequensis	Largescale yellowfish
Labrus bergylta	Ballan wrasse
Labrus mixtus	Cuckoo wrasse
Lachnolaimus maximus	Hogfish
Lagocephalus laevigatus	Smooth puffer
Lagocephalus lagocephalus	Oceanic puffer
Lagodon rhomboides	Pinfish
Lates calcarifer	Barramundi
Leiostomus xanthurus	Spot croaker
Lepisosteus oculatus	Spotted gar
Lepisosteus osseus	Longnose gar
Lepisosteus platostomus	Shortnose gar
Lepisosteus platyrhincus	Florida gar
Lepomis auritus	Redbreast sunfish
Lepomis cyanellus	Green sunfish
Lepomis gibbosus	Pumpkinseed
Lepomis gulosus	Warmouth
Lepomis humilis	Orangespotted sunfish
Lepomis macrochirus	Bluegill
Lepomis marginatus	Dollar sunfish
Lepomis megalotis	Longear sunfish
Lepomis microlophus	Redear sunfish
Lepomis miniatus	Redspotted sunfish
Lepomis peltastes	Northern sunfish
Lepomis punctatus	Spotted sunfish
Leptocottus armatus	Pacific staghorn sculpin
Lethrinus nebulosus	Spangled emperor
Lethrinus obsoletus	Orange-striped emperor
Leuciscus aspius	Asp
Leuciscus idus	Ide
Leuciscus leuciscus	Common dace
Lichia amia	Leerfish
Lithognathus lithognathus	White steenbras
Lithognathus mormyrus	Sand steenbras
Lobotes surinamensis	Tripletail
Loligo Vulgaris	Common Squid
Lota lota	Burbot
Lutjanus analis	Mutton snapper
Lutjanus apodus	Schoolmaster snapper
Lutjanus argentimaculatus	Mangrove red snapper
Lutjanus argentiventris	Yellow snapper
Lutjanus bohar	Two-spot red snapper
Lutjanus campechanus	Northern red snapper
Lutjanus carponotatus	Spanish flag snapper
Lutjanus cyanopterus	Cubera snapper
Lutjanus decussatus	Checkered snapper
Lutjanus ehrenbergii	Blackspot snapper
Lutjanus fulviflamma	Dory snapper
Lutjanus fulvus	Blacktail snapper
Lutjanus gibbus	Humpback red snapper
Lutjanus griseus	Grey snapper
Lutjanus jocu	Dog snapper
Lutjanus johnii	John's snapper
Lutjanus kasmira	Common bluestripe snapper
Lutjanus mahogoni	Mahogany snapper
Lutjanus monostigma	One-spot snapper
Lutjanus novemfasciatus	Pacific dog snapper
Lutjanus rivulatus	Blubberlip snapper
Lutjanus russellii	Russell's snapper
Lutjanus sebae	Emperor red snapper
Lutjanus synagris	Lane snapper
Lutjanus vivanus	Silk snapper
Luxilus chrysocephalus	Striped shiner
Luxilus cornutus	Common shiner
Maccullochella peelii	Murray cod
Macquaria ambigua	Golden perch
Makaira nigricans	Blue marlin
Mayaheros urophthalmus	Mayan Cichlid
Megalops atlanticus	Tarpon
Megalops cyprinoides	Indo-Pacific tarpon
Melanogrammus aeglefinus	Haddock
Melichthys niger	Black triggerfish
Menidia menidia	Atlantic silverside
Menticirrhus americanus	Southern kingcroaker
Menticirrhus littoralis	Gulf kingcroaker
Menticirrhus saxatilis	Northern kingfish
Merlangius merlangus	Whiting
Meuschenia freycineti	Six-spined leatherjacket
Micropogonias undulatus	Atlantic croaker
Micropterus coosae	Redeye bass
Micropterus dolomieu	Smallmouth bass
Micropterus floridanus	Florida Bass
Micropterus henshalli	Alabama bass
Micropterus nigricans	Largemouth black bass
Micropterus notius	Suwannee bass
Micropterus punctulatus	Spotted bass
Micropterus treculii	Guadalupe bass
Minytrema melanops	Spotted sucker
Monacanthus chinensis	Fan-bellied leatherjacket
Monodactylus argenteus	Silver moony
Morone americana	White perch
Morone chrysops	White bass
Morone chrysops X Morone saxatilis	Wiper (Hybrid striped bass)
Morone mississippiensis	Yellow bass
Morone saxatilis	Striped bass
Moxostoma anisurum	Silver redhorse
Moxostoma carinatum	River redhorse
Moxostoma duquesnei	Black redhorse
Moxostoma erythrurum	Golden redhorse
Moxostoma macrolepidotum	Shorthead redhorse
Moxostoma valenciennesi	Greater redhorse
Mugil cephalus	Flathead grey mullet
Mugil curema	White mullet
Mulloidichthys flavolineatus	Yellowstripe goatfish
Mulloidichthys martinicus	Yellow goatfish
Mustelus canis	Dusky smooth-hound
Mustelus lenticulatus	Spotted estuary smooth-hound
Mustelus mustelus	Smooth-hound
Mycteroperca bonaci	Black grouper
Mycteroperca microlepis	Gag
Mycteroperca phenax	Scamp
Mycteroperca rubra	Mottled grouper
Mycteroperca tigris	Tiger grouper
Mycteroperca venenosa	Yellowfin grouper
Myliobatis aquila	Common eagle ray
Myliobatis californica	Bat eagle ray
Myrichthys breviceps	Sharptail eel
Myripristis berndti	Blotcheye soldierfish
Naso unicornis	Bluespine unicornfish
Nebrius ferrugineus	Tawny nurse shark
Negaprion brevirostris	Lemon shark
Nematistius pectoralis	Roosterfish
Neogobius melanostomus	Round goby
Nocomis biguttatus	Hornyhead chub
Nocomis leptocephalus	Bluehead chub
Nocomis micropogon	River chub
Notemigonus crysoleucas	Golden shiner
Notolabrus celidotus	Spotty
Notolabrus fucicola	Yellow-saddled wrasse
Notolabrus gymnogenis	Crimsonband wrasse
Notolabrus tetricus	Blue-throated wrasse
Notorynchus cepedianus	Broadnose sevengill shark
Notropis atherinoides	Emerald shiner
Notropis hudsonius	Spottail shiner
Notropis stramineus	Sand shiner
Noturus flavus	Stonecat
Ocyurus chrysurus	Yellowtail snapper
Oligoplites saurus	Leatherjacket
Oncorhynchus aguabonita	Golden trout
Oncorhynchus clarkii	Cutthroat trout
Oncorhynchus clarkii clarkii	Coastal Cutthroat Trout
Oncorhynchus gorbuscha	Pink salmon
Oncorhynchus keta	Chum salmon
Oncorhynchus kisutch	Coho salmon
Oncorhynchus mykiss	Rainbow trout
Oncorhynchus mykiss X Color variant2	Palomino Trout
Oncorhynchus mykiss X Oncorhynchus clarkii	Cutbow Trout
Oncorhynchus nerka	Sockeye salmon (kokanee salmon)
Oncorhynchus tshawytscha	Chinook salmon
Ophiodon elongatus	Lingcod
Opisthonema oglinum	Atlantic thread herring
Opsanus tau	Oyster toadfish
Oreochromis aureus	Blue tilapia
Oreochromis niloticus	Nile tilapia
Orthopristis chrysoptera	Pigfish
Pachymetopon blochii	Hottentot seabream
Pagellus acarne	Axillary seabream
Pagrus auratus	Silver seabream
Pagrus pagrus	Red porgy
Parachromis dovii	Guapote
Parachromis managuensis	Jaguar guapote
Paralabrax clathratus	Kelp bass
Paralabrax maculatofasciatus	Spotted sand bass
Paralabrax nebulifer	Barred sand bass
Paralichthys albigutta	Gulf flounder
Paralichthys californicus	California flounder
Paralichthys dentatus	Summer flounder
Paralichthys lethostigma	Southern flounder
Parapercis colias	New Zealand blue cod
Parupeneus cyclostomus	Gold-saddle goatfish
Parupeneus indicus	Indian goatfish
Parupeneus multifasciatus	Manybar goatfish
Parupeneus spilurus	Blackspot goatfish
Pelmatolapia mariae	Spotted tilapia
Peprilus triacanthus	Atlantic butterfish
Perca flavescens	American yellow perch
Perca fluviatilis	European perch
Percalates novemaculeatus	Australian bass
Percina caprodes	Logperch
Percopsis omiscomaycus	Trout-perch
Phoxinus phoxinus	Eurasian minnow
Pimelodus maculatus	Bagre amarillo
Pimephales promelas	Fathead minnow
Pimephales vigilax	Bullhead minnow
Platax teira	Longfin batfish
Platichthys flesus	European flounder
Platichthys stellatus	Starry flounder
Platycephalus fuscus	Dusky flathead
Platycephalus indicus	Bartail flathead
Platyrhinoidis triseriata	Thornback guitarfish
Plectropomus laevis	Blacksaddled coralgrouper
Plectropomus leopardus	Leopard coralgrouper
Plectropomus maculatus	Spotted coralgrouper
Pleuronectes platessa	European plaice
Plotosus lineatus	Striped eel catfish
Poecilia reticulata	Guppy
Pogonias cromis	Black drum
Pollachius pollachius	Pollack
Pollachius virens	Saithe
Polyodon spathula	Mississippi paddlefish
Pomacanthus arcuatus	Gray angelfish
Pomacanthus paru	French angelfish
Pomadasys commersonnii	Smallspotted grunter
Pomadasys kaakan	Javelin grunter
Pomatomus saltatrix	Bluefish
Pomoxis annularis	White crappie
Pomoxis nigromaculatus	Black crappie
Poroderma africanum	Striped catshark
Prionace glauca	Blue shark
Prionotus evolans	Striped searobin
Prosopium williamsoni	Mountain whitefish
Pseudobatos productus	Shovelnose guitarfish
Pseudolabrus guentheri	GÃ¼nther's wrasse
Pseudopleuronectes americanus	Winter flounder
Pseudupeneus maculatus	Spotted goatfish
Pterois volitans	Red lionfish
Ptychocheilus grandis	Sacramento pikeminnow
Ptychocheilus oregonensis	Northern pikeminnow
Pylodictis olivaris	Flathead catfish
Rachycentron canadum	Cobia
Raja clavata	Thornback ray
Rhabdosargus sarba	Goldlined seabream
Rhincodon typus	Whale shark
Rhinecanthus rectangulus	Wedge-tail triggerfish
Rhinichthys atratulus	Blacknose dace
Rhinichthys cataractae	Longnose dace
Rhinichthys obtusus	Western blacknose dace
Rhizoprionodon terraenovae	Atlantic sharpnose shark
Rhomboplites aurorubens	Vermilion snapper
Rutilus rutilus	Roach
Rypticus saponaceus	Greater soapfish
Salminus brasiliensis	Golden Dorado
Salmo salar	Atlantic salmon
Salmo trutta	Brown trout
Salmo trutta X Salvelinus fontinalis	Tiger Trout
Salvelinus alpinus	Arctic char
Salvelinus confluentus	Bull trout
Salvelinus fontinalis	Brook trout
Salvelinus malma	Dolly varden
Salvelinus namaycush	Lake trout
Sander canadensis	Sauger
Sander lucioperca	Pike-perch
Sander vitreus	Walleye
Sander vitreus X Sander canadensis	Saugeye
Sarda sarda	Atlantic bonito
Sarotherodon melanotheron	Blackchin tilapia
Sarpa salpa	Salema
Scaphirhynchus platorynchus	Shovelnose sturgeon
Scardinius erythrophthalmus	Rudd
Scarus coeruleus	Blue parrotfish
Scarus ghobban	Blue-barred parrotfish
Scarus guacamaia	Rainbow parrotfish
Scarus iseri	Striped parrotfish
Scarus niger	Dusky parrotfish
Scarus psittacus	Common parrotfish
Scarus taeniopterus	Princess parrotfish
Scarus vetula	Queen parrotfish
Scatophagus argus	Spotted scat
Sciaenops ocellatus	Red drum (Red Fish)
Scomber australasicus	Blue mackerel
Scomber japonicus	Chub mackerel
Scomber scombrus	Atlantic mackerel
Scomberoides commersonnianus	Talang queenfish
Scomberoides lysan	Doublespotted queenfish
Scomberomorus cavalla	King mackerel
Scomberomorus commerson	Narrow-barred Spanish mackerel
Scomberomorus maculatus	Atlantic Spanish mackerel
Scomberomorus regalis	Cero
Scomberomorus sierra	Pacific sierra
Scorpaena guttata	California scorpionfish
Scorpaenichthys marmoratus	Cabezon
Scorpis lineolata	Silver sweep
Scyliorhinus canicula	Lesser spotted dogfish
Sebastes auriculatus	Brown rockfish
Sebastes caurinus	Copper rockfish
Sebastes melanops	Black rockfish
Sebastes miniatus	Vermilion rockfish
Sebastes mystinus	Blue rockfish
Selar crumenophthalmus	Bigeye scad
Selene setapinnis	Atlantic moonfish
Selene vomer	Lookdown
Semotilus atromaculatus	Creek chub
Semotilus corporalis	Fallfish
Seriola dumerili	Greater amberjack
Seriola hippos	Samson fish
Seriola lalandi	Yellowtail amberjack
Seriola rivoliana	Almaco Jack
Serranus cabrilla	Comber
Serranus scriba	Painted comber
Siganus guttatus	Orange-spotted spinefoot
Sillaginodes punctatus	King George whiting
Sillago ciliata	Sand sillago
Silurus glanis	Wels catfish
Sparisoma aurofrenatum	Redband parrotfish
Sparisoma chrysopterum	Redtail parrotfish
Sparisoma cretense	Parrotfish
Sparisoma rubripinne	Redfin parrotfish
Sparisoma viride	Stoplight parrotfish
Sparus aurata	Gilthead seabream
Sphoeroides maculatus	Northern puffer
Sphoeroides testudineus	Checkered puffer
Sphyraena argentea	Pacific barracuda
Sphyraena barracuda	Great barracuda
Sphyraena jello	Pickhandle barracuda
Sphyraena novaehollandiae	Australian barracuda
Sphyraena obtusata	Obtuse barracuda
Sphyraena qenie	Blackfin barracuda
Sphyraena viridensis	Yellowmouth barracuda
Sphyrna lewini	Scalloped hammerhead
Sphyrna mokarran	Great hammerhead
Sphyrna tiburo	Bonnethead
Sphyrna zygaena	Smooth hammerhead
Spondyliosoma cantharus	Black seabream
Squalus acanthias	Picked dogfish
Stegastes leucostictus	Beaugregory
Stegastes partitus	Bicolor damselfish
Stenotomus chrysops	Scup
Stereolepis gigas	Giant seabass
Strongylura marina	Atlantic needlefish
Symphodus cinereus	Grey wrasse
Symphodus melops	Corkwing wrasse
Symphodus tinca	East Atlantic peacock wrasse
Synodus foetens	Inshore lizardfish
Synodus saurus	Atlantic lizardfish
Taeniura lymma	Ribbontail stingray
Tandanus tandanus	Australian freshwater catfish
Tautoga onitis	Tautog
Tautogolabrus adspersus	Cunner
Terapon jarbua	Jarbua terapon
Thalassoma bifasciatum	Bluehead
Thalassoma duperrey	Saddle wrasse
Thalassoma lunare	Moon wrasse
Thalassoma pavo	Ornate wrasse
Thalassoma purpureum	Surge wrasse
Thunnus alalunga	Albacore
Thunnus albacares	Yellowfin tuna
Thunnus atlanticus	Blackfin tuna
Thunnus thynnus	Atlantic bluefin tuna
Thymallus arcticus	Arctic grayling
Thymallus thymallus	Grayling
Thyrsites atun	Snoek
Tilapia sparrmanii	Banded tilapia
Tinca tinca	Tench
Torquigener pleurogramma	Weeping toado
Toxotes jaculatrix	Banded archerfish
Trachinotus baillonii	Small spotted dart
Trachinotus blochii	Snubnose pompano
Trachinotus carolinus	Florida pompano
Trachinotus falcatus	Permit
Trachinotus goodei	Great pompano
Trachinotus ovatus	Pompano
Trachurus mediterraneus	Mediterranean horse mackerel
Trachurus novaezelandiae	Yellowtail horse mackerel
Trachurus symmetricus	Pacific jack mackerel
Trachurus trachurus	Atlantic horse mackerel
Triaenodon obesus	Whitetip reef shark
Triakis semifasciata	Leopard shark
Trichiurus lepturus	Largehead hairtail
Trinectes maculatus	Hogchoker
Trygonorrhina fasciata	Eastern fiddler ray
Tylosurus crocodilus	Hound needlefish
Umbra limi	Central mudminnow
Variola louti	Yellow-edged lyretail
Xiphias gladius	Swordfish
Xyrichtys novacula	Pearly razorfish
